TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH
"Banner","Banner","Id","int",""
"Banner","Banner","Name","nvarchar","255"
"Banner","Banner","WebsiteId","int",""
"Banner","Banner","Status","tinyint",""
"Banner","Banner","BannerConditions","nvarchar","-1"
"Banner","Banner","CreatedAt","datetime2",""
"Banner","Banner","StartDate","datetime2",""
"Banner","Banner","EndDate","datetime2",""
"Banner","Banner","EditorType","tinyint",""
"Banner","Banner","BannerEventTrigger","tinyint",""
"Banner","BannerContent","Id","int",""
"Banner","BannerContent","BannerId","int",""
"Banner","BannerContent","Name","nvarchar","255"
"Banner","BannerContent","Html","nvarchar","-1"
"Banner","BannerContent","WrappedHtml","nvarchar","-1"
"Banner","BannerContent","Width","int",""
"Banner","BannerContent","Height","int",""
"Banner","BannerContent","RawHtml","nvarchar","-1"
"Banner","BannerContent","RawCss","nvarchar","-1"
"Banner","BannerContent","Selector","nvarchar","-1"
"Banner","BannerContent","Placement","tinyint",""
"Banner","BannerContent","IsHtmlDynamic","bit",""
"Banner","BannerContent","CreatedAt","datetime2",""
"Banner","BannerContent","LastEditedAt","datetime2",""
"Banner","BannerContent","Json","nvarchar","-1"
"Banner","BannerContent","RawJs","nvarchar","-1"
"Banner","BannerContent","UpdatedBy","varchar","320"
"Banner","BannerContent","ValidFrom","datetime2",""
"Banner","BannerContent","ValidTo","datetime2",""
"Banner","BannerContentCounters","BannerContentId","int",""
"Banner","BannerContentCounters","Clicks","int",""
"Banner","BannerContentCounters","Displayed","int",""
"Banner","BannerContentCounters","Gets","int",""
"Banner","BannerContentHistory","Id","int",""
"Banner","BannerContentHistory","BannerId","int",""
"Banner","BannerContentHistory","Name","nvarchar","255"
"Banner","BannerContentHistory","Html","nvarchar","-1"
"Banner","BannerContentHistory","WrappedHtml","nvarchar","-1"
"Banner","BannerContentHistory","Width","int",""
"Banner","BannerContentHistory","Height","int",""
"Banner","BannerContentHistory","RawHtml","nvarchar","-1"
"Banner","BannerContentHistory","RawCss","nvarchar","-1"
"Banner","BannerContentHistory","Selector","nvarchar","-1"
"Banner","BannerContentHistory","Placement","tinyint",""
"Banner","BannerContentHistory","IsHtmlDynamic","bit",""
"Banner","BannerContentHistory","CreatedAt","datetime2",""
"Banner","BannerContentHistory","LastEditedAt","datetime2",""
"Banner","BannerContentHistory","Json","nvarchar","-1"
"Banner","BannerContentHistory","RawJs","nvarchar","-1"
"Banner","BannerContentHistory","UpdatedBy","varchar","320"
"Banner","BannerContentHistory","ValidFrom","datetime2",""
"Banner","BannerContentHistory","ValidTo","datetime2",""
"Banner","BannerContentUtmParameter","Id","int",""
"Banner","BannerContentUtmParameter","BannerContentId","int",""
"Banner","BannerContentUtmParameter","Name","nvarchar","50"
"Banner","BannerContentUtmParameter","Value","nvarchar","300"
"Banner","BannerContentUtmParameter","IsDynamic","bit",""
"Banner","BannerRecommendationCounters","Id","int",""
"Banner","BannerRecommendationCounters","DateTimeFrom","datetime2",""
"Banner","BannerRecommendationCounters","DateTimeTo","datetime2",""
"Banner","BannerRecommendationCounters","BannerId","int",""
"Banner","BannerRecommendationCounters","BannerContentId","int",""
"Banner","BannerRecommendationCounters","RecommendationEngine","tinyint",""
"Banner","BannerRecommendationCounters","RecommendationsCount","int",""
"Banner","BannerRecommendationCounters","ProductsCount","int",""
"Banner","BannerRecommendationCounters","ViewsCount","int",""
"Banner","BannerRecommendationCounters","CartAdditionsCount","int",""
"Banner","BannerRecommendationCounters","OrdersCount","int",""
"Banner","BannerRecommendationCounters","OrdersUniqueCount","int",""
"Banner","BannerRecommendationCounters","RevenueCount","decimal",""
"Blocklist","BlockedEmail","Id","int",""
"Blocklist","BlockedEmail","CreatedAt","datetime2",""
"Blocklist","BlockedEmail","Email","varchar","320"
"Blocklist","BlockedEmail","Reason","tinyint",""
"Blocklist","BlockedEmail","UpdatedBy","varchar","320"
"Blocklist","BlockedPhone","Id","int",""
"Blocklist","BlockedPhone","CreatedAt","datetime2",""
"Blocklist","BlockedPhone","Phone","varchar","20"
"Blocklist","BlockedPhone","Reason","tinyint",""
"Blocklist","BlockedPhone","UpdatedBy","varchar","320"
"Blocklist","BlocklistImport","Id","int",""
"Blocklist","BlocklistImport","CreatedAt","datetime2",""
"Blocklist","BlocklistImport","StartedAt","datetime2",""
"Blocklist","BlocklistImport","FinishedAt","datetime2",""
"Blocklist","BlocklistImport","Status","tinyint",""
"Blocklist","BlocklistImport","OriginalFileName","nvarchar","2048"
"Blocklist","BlocklistImport","LocalFilePrefix","nvarchar","255"
"Blocklist","BlocklistImport","ImportType","tinyint",""
"Blocklist","BlocklistImport","LineProcessed","int",""
"Blocklist","BlocklistImport","TotalRecords","int",""
"Blocklist","BlocklistImport","AddedRecords","int",""
"Blocklist","BlocklistImport","InvalidRecords","int",""
"Blocklist","BlocklistImport","DuplicatedRecords","int",""
"Blocklist","BlocklistImport","SkippedRecords","int",""
"Blocklist","BlocklistImport","CleanedUp","bit",""
"Config","Consent","Id","int",""
"Config","Consent","CreatedAt","datetime2",""
"Config","Consent","UpdatedAt","datetime2",""
"Config","Consent","UpdatedBy","varchar","320"
"Config","Consent","Status","tinyint",""
"Config","Consent","Type","tinyint",""
"Config","Consent","Name","nvarchar","100"
"Config","Consent","Description","nvarchar","-1"
"Config","Consent","RequirementFlags","int",""
"Config","Consent","DisplayName","nvarchar","450"
"Config","Consent","VisibleInPreferenceCenter","bit",""
